trial_id,km,ambiente_seca,ambiente_umida,ct,fc,ibutg,interna,interna_pele,pacing,pele,pse,st,tpeito,umidade_absoluta,umidade_relativa,velocidade,vento
9,5,33.05,28.50,2.00,173.00,29.87,38.97,3.36,6.30,35.61,13.00,6.00,33.40,0.03,71.00,9.53,0.00
9,6,33.10,28.50,3.00,176.00,29.88,39.31,3.36,6.27,35.95,14.00,6.00,36.80,0.03,71.00,9.57,0.00
9,7,33.10,28.50,3.00,179.00,29.88,39.60,3.39,6.29,36.21,14.00,6.00,35.40,0.03,71.00,9.55,0.00
9,8,33.10,28.50,3.00,181.00,29.88,39.86,3.26,6.30,36.60,15.00,7.00,35.20,0.03,71.00,9.52,0.00
9,9,33.05,28.50,4.00,182.00,29.87,40.12,3.44,6.30,36.68,16.00,7.00,36.20,0.03,71.00,9.52,0.00
9,10,33.00,28.50,4.00,185.00,29.85,40.44,3.47,6.27,36.97,17.00,7.00,36.80,0.03,71.00,9.57,0.00
10,1,33.00,28.50,2.00,137.00,29.85,36.73,2.35,6.12,34.38,14.00,5.00,37.60,0.03,71.00,9.81,0.00
10,2,33.00,28.50,2.00,146.00,29.85,37.02,2.05,5.97,34.97,14.00,5.00,36.20,0.03,71.00,10.06,0.00
10,3,33.00,28.50,2.00,149.00,29.85,37.37,2.24,5.89,35.13,15.00,5.00,36.80,0.03,71.00,10.18,0.00
10,4,33.00,28.50,3.00,159.00,29.85,37.87,2.18,5.86,35.69,15.00,6.00,35.60,0.03,71.00,10.23,0.00
10,5,32.95,28.40,4.00,159.00,29.77,38.31,2.33,5.83,35.98,15.00,6.00,33.00,0.03,71.00,10.29,0.00
10,6,32.90,28.30,4.00,161.00,29.68,38.75,2.81,5.84,35.94,16.00,7.00,37.20,0.03,71.00,10.27,0.00
10,7,32.80,28.45,4.00,164.00,29.76,39.12,3.51,5.86,35.61,18.00,7.00,36.20,0.03,71.00,10.24,0.00
10,8,32.70,28.60,4.00,160.00,29.83,39.40,3.66,5.99,35.74,18.00,7.00,36.00,0.03,71.00,10.02,0.00
10,9,32.90,28.80,4.00,141.00,30.03,39.65,3.45,6.09,36.20,19.00,7.00,37.40,0.03,72.50,9.85,0.00
10,10,33.10,29.00,4.00,185.00,30.23,39.80,4.28,5.99,35.52,20.00,7.00,36.20,0.03,74.00,10.01,0.00
11,1,32.90,28.55,1.00,175.00,29.86,37.63,1.50,8.98,36.13,6.00,4.00,33.40,0.03,71.00,6.68,0.00
11,2,33.00,28.70,1.00,181.00,29.99,38.18,2.68,4.95,35.50,7.00,4.00,34.20,0.03,71.00,12.12,0.00
11,3,32.90,28.35,1.00,184.00,29.72,39.04,3.34,4.94,35.70,9.00,5.00,35.20,0.03,69.50,12.15,0.00
11,4,32.80,28.00,1.00,182.00,29.44,39.18,3.55,5.11,35.63,10.00,4.00,33.60,0.02,68.00,11.74,0.00
11,5,32.95,28.20,1.00,185.00,29.63,39.45,3.46,5.25,35.99,11.00,5.00,34.00,0.03,69.50,11.44,0.00
11,6,33.10,28.40,1.00,186.00,29.81,39.90,4.14,5.33,35.76,13.00,5.00,36.20,0.03,71.00,11.25,0.00
11,7,33.15,28.70,2.00,183.00,30.04,40.12,4.02,5.39,36.10,14.00,5.00,34.80,0.03,72.50,11.14,0.00
11,8,33.20,29.00,2.00,190.00,30.26,40.36,4.60,5.47,35.76,16.00,5.00,33.40,0.03,74.00,10.98,0.00
11,9,33.05,28.50,2.00,188.00,29.87,40.38,3.89,5.54,36.49,16.00,6.00,35.20,0.03,72.50,10.82,0.00
11,10,32.90,28.00,2.00,196.00,29.47,40.70,4.45,5.51,36.25,18.00,6.00,35.40,0.03,71.00,10.89,0.00
12,1,33.00,28.45,2.00,149.00,29.82,37.32,3.31,6.15,34.01,7.00,5.00,33.20,0.03,71.00,9.76,0.00
12,2,33.40,28.40,2.00,153.00,29.90,37.56,2.42,5.61,35.14,9.00,5.00,34.80,0.03,71.00,10.70,0.00
